batch_size,learning_rate,number_of_layers,first_layer_size,resultat,temps
20,0.001,4,200,0.9776190519332886,13.186004877090454
20,0.001,4,500,0.9819047451019287,24.606875896453857
20,0.001,4,1000,0.9820634722709656,47.62423610687256
20,0.0001,2,100,0.93365079164505,7.258830785751343
20,0.0001,2,200,0.9393650889396667,11.25830888748169
20,0.0001,2,500,0.9441269636154175,21.52411913871765
20,0.0001,2,1000,0.9493650794029236,36.131996154785156
20,0.0001,3,100,0.9242857098579407,8.33503007888794
20,0.0001,3,200,0.9317460060119629,12.215939998626709
20,0.0001,3,500,0.9379364848136902,21.95623517036438
20,0.0001,3,1000,0.94349205493927,41.25276494026184
20,0.0001,4,100,0.9115872979164124,8.944135904312134
20,0.0001,4,200,0.9150793552398682,13.259796380996704
20,0.0001,4,500,0.9174603223800659,23.4742648601532
20,0.0001,4,1000,0.927142858505249,45.155171155929565
50,0.01,2,100,0.9763492345809937,4.1142168045043945
50,0.01,2,200,0.9798412919044495,6.190436124801636
50,0.01,2,500,0.9830158948898315,9.74572205543518
50,0.01,2,1000,0.9849206209182739,16.593830108642578
50,0.01,3,100,0.9777777791023254,4.464301824569702
50,0.01,3,200,0.9831746220588684,6.411696910858154
50,0.01,3,500,0.983650803565979,10.010196924209595
50,0.01,3,1000,0.9861904978752136,19.488176107406616
50,0.01,4,100,0.9731746315956116,4.90671706199646
50,0.01,4,200,0.9777777791023254,7.029959201812744
50,0.01,4,500,0.9804762005805969,10.290360689163208
50,0.01,4,1000,0.9850793480873108,21.097540140151978
50,0.001,2,100,0.9712698459625244,4.108781099319458
50,0.001,2,200,0.9757142663002014,6.235157012939453
50,0.001,2,500,0.9811111092567444,9.415048360824585
50,0.001,2,1000,0.9814285635948181,16.113178730010986
50,0.001,3,100,0.9774603247642517,4.596976041793823
50,0.001,3,200,0.9763492345809937,6.546083211898804
50,0.001,3,500,0.9814285635948181,9.82558798789978
50,0.001,3,1000,0.9825396537780762,19.557625770568848
50,0.001,4,100,0.9734920859336853,4.663250207901001
50,0.001,4,200,0.9787301421165466,6.95485520362854
50,0.001,4,500,0.9806349277496338,11.747774124145508
50,0.001,4,1000,0.9830158948898315,21.330366849899292
50,0.0001,2,100,0.9326984286308289,4.027295827865601
50,0.0001,2,200,0.9365079402923584,6.072205066680908
50,0.0001,2,500,0.9450793862342834,9.54407286643982
50,0.0001,2,1000,0.9501587152481079,16.02804708480835
50,0.0001,3,100,0.9274603128433228,4.612506151199341
50,0.0001,3,200,0.9322222471237183,6.515476942062378
50,0.0001,3,500,0.9363492131233215,10.145183086395264
50,0.0001,3,1000,0.9425396919250488,19.609092950820923
50,0.0001,4,100,0.8953968286514282,4.855185270309448
50,0.0001,4,200,0.9119047522544861,7.19953989982605
50,0.0001,4,500,0.9209523797035217,10.992469787597656
50,0.0001,4,1000,0.9295238256454468,21.78219509124756
