batch_size,learning_rate,number_of_layers,incrementing_factor,resultat,temps
50,0.01,3,5,0.9863492250442505,24.01197099685669
5,0.01,3,5,0.9855555295944214,194.21245074272156
20,0.01,3,5,0.9849206209182739,48.65561485290527
5,0.01,4,5,0.9839682579040527,1577.9028899669647
5,0.001,4,5,0.983650803565979,1568.33518409729
20,0.001,4,5,0.983650803565979,301.8190190792084
5,0.001,3,5,0.9834920763969421,202.64702200889587
20,0.01,4,5,0.9833333492279053,302.09361696243286
20,0.001,4,3,0.9830158948898315,40.41968631744385
50,0.01,4,5,0.9830158948898315,136.52430820465088
50,0.01,4,3,0.9826984405517578,18.760297775268555
50,0.001,3,5,0.9826984405517578,23.048251152038574
50,0.001,4,5,0.9826984405517578,135.7789192199707
20,0.001,3,5,0.9825396537780762,46.850428104400635
50,0.01,2,5,0.9820634722709656,6.7729880809783936
50,0.001,4,3,0.9820634722709656,18.04367685317993
20,0.01,2,5,0.981587290763855,11.366772890090942
20,0.001,2,5,0.9814285635948181,11.744822978973389
5,0.01,3,3,0.9812698364257812,47.68859028816223
20,0.01,4,3,0.9804762005805969,40.65052390098572
5,0.01,4,3,0.9803174734115601,141.07303071022034
5,0.001,4,3,0.9803174734115601,146.17703986167908
5,0.01,2,5,0.9796825647354126,36.04859805107117
20,0.01,3,3,0.9796825647354126,13.144614934921265
20,0.01,4,2,0.9796825647354126,11.680302143096924
50,0.01,3,3,0.9792063236236572,7.501280069351196
5,0.001,3,3,0.9788888692855835,45.808135986328125
20,0.001,3,3,0.9788888692855835,13.873356103897095
50,0.001,4,2,0.978253960609436,6.572479009628296
50,0.001,3,3,0.9780952334403992,7.587172269821167
50,0.001,2,5,0.9777777791023254,6.485864877700806
5,0.001,2,5,0.9776190519332886,36.79998779296875
50,0.01,4,2,0.9769841432571411,7.145151853561401
5,0.01,2,3,0.9766666889190674,22.059450149536133
5,0.01,4,2,0.9765079617500305,42.79911494255066
20,0.001,4,2,0.9765079617500305,12.544415950775146
20,0.01,2,3,0.9763492345809937,7.4664387702941895
20,0.01,3,2,0.9760317206382751,7.848921060562134
5,0.01,3,2,0.9755555391311646,24.176963090896606
5,0.001,4,2,0.9752380847930908,42.79462766647339
5,0.001,2,3,0.9749206304550171,22.39916491508484
5,0.001,3,2,0.9736508131027222,25.116810083389282
50,0.01,3,2,0.9730158448219299,4.3124401569366455
50,0.001,3,2,0.9723809361457825,4.549421787261963
20,0.001,2,3,0.9720634818077087,7.8039398193359375
50,0.001,2,3,0.971746027469635,4.398661851882935
20,0.001,3,2,0.9711111187934875,7.955144166946411
50,0.01,2,3,0.9671428799629211,4.266874074935913
20,0.01,2,2,0.9657142758369446,6.095049142837524
50,0.001,2,2,0.9647619128227234,3.5648529529571533
5,0.01,2,2,0.9639682769775391,19.517748832702637
20,0.001,2,2,0.9590476155281067,6.227552890777588
5,0.001,2,2,0.9565079212188721,18.42031192779541
50,0.01,2,2,0.95333331823349,3.560281991958618
5,0.0001,4,5,0.9515873193740845,1570.7072439193726
20,0.0001,4,5,0.949999988079071,301.22053718566895
50,0.0001,4,5,0.9492063522338867,135.64887118339539
20,0.0001,3,5,0.9449206590652466,45.71903991699219
50,0.0001,3,5,0.9444444179534912,21.81311273574829
5,0.0001,3,5,0.9439682364463806,205.10709404945374
20,0.0001,2,5,0.9411110877990723,12.19524621963501
50,0.0001,2,5,0.9382539391517639,6.733546257019043
5,0.0001,2,5,0.9366666674613953,37.952471017837524
50,0.0001,2,3,0.9338095188140869,4.281599044799805
20,0.0001,3,3,0.9334920644760132,13.587206840515137
20,0.0001,4,3,0.9334920644760132,38.12207007408142
50,0.0001,3,3,0.9328571557998657,7.384896993637085
5,0.0001,3,3,0.932539701461792,46.19543504714966
20,0.0001,2,3,0.9312698245048523,7.59122896194458
50,0.0001,4,3,0.9306349158287048,18.219376802444458
5,0.0001,2,3,0.9295238256454468,21.99947476387024
5,0.0001,3,2,0.9276190400123596,24.870683193206787
20,0.0001,3,2,0.9273015856742859,7.985828876495361
5,0.0001,4,3,0.9265079498291016,144.47434878349304
20,0.0001,2,2,0.9209523797035217,6.096927881240845
50,0.0001,2,2,0.9204761981964111,3.470186948776245
50,0.0001,3,2,0.9195238351821899,4.41775918006897
50,0.0001,4,2,0.9192063212394714,6.341501951217651
5,0.0001,2,2,0.917301595211029,17.970535039901733
20,0.0001,4,2,0.9144444465637207,10.97349214553833
5,0.0001,4,2,0.9074603319168091,39.866438150405884
