learning_rate,number_of_neurones,result,time
0.01,10,0.7436507940292358,36.925684213638306
0.001,10,0.6757143139839172,38.033058881759644
0.0001,10,0.7530158758163452,37.86335492134094
0.01,50,0.9558730125427246,43.47169780731201
0.001,50,0.9484127163887024,40.68299627304077
0.0001,50,0.9171428680419922,42.17259407043457
0.01,100,0.965238094329834,45.11018371582031
0.001,100,0.9657142758369446,43.819783210754395
0.0001,100,0.918571412563324,45.89214873313904
0.01,200,0.9752380847930908,44.070892095565796
0.001,200,0.9728571176528931,40.562899112701416
0.0001,200,0.9279364943504333,38.70618033409119
0.01,500,0.9825396537780762,40.42066216468811
0.001,500,0.9776190519332886,40.39439296722412
0.0001,500,0.9312698245048523,39.9540798664093
0.01,1000,0.9850793480873108,48.54024958610535
0.001,1000,0.9792063236236572,49.78514122962952
0.0001,1000,0.9331746101379395,49.316542625427246
